,CUI,STR,SAB,STY
0,C0039194,T Cells,MSH,Cell
1,C1167909,T cells,MEDCIN,Laboratory Procedure
2,C0039194,t cells,CHV,Cell
3,C0039194,T cells,CPT,Cell
4,C0039194,T cells,LCH_NW,Cell
5,C0039194,T cells,LNC,Cell
8,C0039194,T Cells,NCI,Cell
9,C0229613,Lymphoblast,RCD,Cell
10,C0229613,Lymphoblast,SNM,Cell
11,C0229613,Lymphoblast,SNMI,Cell
12,C0229613,lymphoblast,AOD,Cell
13,C0229613,lymphoblast,CSP,Cell
14,C0229613,Lymphoblast,FMA,Cell
15,C0229613,lymphoblast,CHV,Cell
16,C0229613,Lymphoblast,SNOMEDCT_US,Cell
17,C0229613,Lymphoblast,NCI,Cell
18,C0229613,lymphoblast,MTH,Cell
19,C0004561,b cells,CHV,Cell
20,C0004561,B cells,LCH_NW,Cell
21,C0004561,B Cells,NCI,Cell
22,C2243049,peripheral blood mononuclear cells,MEDCIN,Laboratory Procedure
23,C1321301,Peripheral Blood Mononuclear Cells,MSH,Cell
24,C0027882,Neurons,LCH,Cell
25,C0027882,Neurons,MSH,Cell
26,C0027882,neurons,CHV,Cell
27,C0027882,Neurons,LCH_NW,Cell
28,C0027882,Neurons,PSY,Cell
29,C0027882,Neurons,NCI,Cell
30,C0027882,Neurons,MTH,Cell
31,C0043544,Zygote,MSH,Embryonic Structure
32,C0043544,Zygote,SNM,Embryonic Structure
33,C0043544,Zygote,SNMI,Embryonic Structure
34,C0043544,zygote,AOD,Embryonic Structure
35,C0043544,Zygote,FMA,Embryonic Structure
36,C0686873,zygote,CHV,Eukaryote
37,C0043544,zygote,CHV,Embryonic Structure
38,C0043544,Zygote,UWDA,Embryonic Structure
39,C0686873,Zygote,SNOMEDCT_US,Eukaryote
40,C0043544,Zygote,SNOMEDCT_US,Embryonic Structure
41,C0043544,Zygote,NCI,Embryonic Structure
42,C0026573,Morula,MSH,Embryonic Structure
43,C2630713,Morula,NCBI,Eukaryote
44,C0026573,morula,CHV,Embryonic Structure
45,C0026573,Morula,FMA,Embryonic Structure
46,C0026573,Morula,SNOMEDCT_US,Embryonic Structure
47,C0026573,Morula,NCI,Embryonic Structure
48,C4246193,Late blastocyst,FMA,Embryonic Structure
49,C0015350,ICM,FMA,Tissue
50,C0015350,icm,CHV,Tissue
51,C0015350,ICM,UWDA,Tissue
52,C1550746,ICM,HL7V3.0,Temporal Concept
53,C0039462,te,CHV,Hazardous or Poisonous Substance
54,C0039462,te,CHV,"Element, Ion, or Isotope"
55,C4522043,TE,NCI,Diagnostic Procedure
56,C2826100,TE,NCI,Temporal Concept
57,C0221908,Epithelial,SNMI,Qualitative Concept
58,C0221908,epithelial,CHV,Qualitative Concept
59,C0221908,Epithelial,NCI,Qualitative Concept
60,C0225369,Chondrocytes,MSH,Cell
61,C0225369,chondrocytes,CHV,Cell
62,C0225369,Chondrocytes,NCI,Cell
63,C0018207,Granulosa Cells,MSH,Cell
64,C0018207,granulosa cells,CHV,Cell
65,C0018207,Granulosa Cells,NCI,Cell
66,C0206116,Microglia,MSH,Cell
67,C0206116,Microglia,SNM,Cell
68,C0206116,Microglia,SNMI,Cell
69,C0206116,microglia,AOD,Cell
70,C0206116,microglia,CSP,Cell
71,C0206116,Microglia,FMA,Cell
72,C0206116,microglia,CHV,Cell
73,C0206116,Microglia,LCH_NW,Cell
74,C0206116,Microglia,UWDA,Cell
75,C0206116,Microglia,MTH,Cell
76,C0206116,Microglia,OMIM,Cell
77,C0206116,Microglia,SNOMEDCT_US,Cell
78,C0206116,Microglia,NCI,Cell
79,C0682638,memory b cell,CHV,Cell
80,C0682638,Memory B Cell,MSH,Cell
81,C0682638,Memory B Cell,NCI,Cell
82,C0555198,High-Grade Glioma,NCI,Neoplastic Process
83,C4722099,High-grade glioma,SNOMEDCT_US,Neoplastic Process
84,C1997217,Low-grade glioma,SNOMEDCT_US,Neoplastic Process
85,C1997217,Low-Grade Glioma,NCI,Neoplastic Process
86,C1997217,Low-grade glioma,OMIM,Neoplastic Process
87,C0030281,Pancreatic beta cell,FMA,Cell
88,C0030281,pancreatic beta cell,CHV,Cell
89,C0030281,pancreatic beta cell,CSP,Cell
90,C0030281,Pancreatic beta Cell,MSH,Cell
91,C0242692,Skeletal muscle,RCD,Tissue
92,C0242692,Skeletal muscle,SNM,Tissue
93,C0242692,Skeletal muscle,UWDA,Tissue
94,C0242692,skeletal muscle,AOD,Tissue
95,C0242692,skeletal muscle,CSP,Tissue
96,C0242692,skeletal muscle,CHV,Tissue
97,C0242692,Skeletal Muscle,MSH,Tissue
98,C0242692,Skeletal muscle,LNC,Tissue
99,C0242692,Skeletal muscle,SNOMEDCT_US,Tissue
100,C0242692,Skeletal muscle,FMA,Tissue
101,C0242692,Skeletal Muscle,NCI,Tissue
102,C0242692,Skeletal Muscle,HL7V2.5,Tissue
103,C1546780,Skeletal muscle,HL7V2.5,Intellectual Product
104,C1550659,Skeletal muscle,HL7V3.0,Body Substance
105,C2717959,IPS Cells,MSH,Cell
106,C1171346,hESC,MSH,Cell
107,C0026473,Monocytes,LCH,Cell
108,C0026473,Monocytes,MSH,Cell
109,C0026473,monocytes,MTH,Cell
110,C0026473,Monocytes,MTH,Cell
111,C0026473,Monocytes,LNC,Cell
113,C0026473,monocytes,CHV,Cell
115,C0026473,Monocytes,LCH_NW,Cell
116,C0026473,Monocytes,MDR,Cell
117,C0026473,Monocytes,CPM,Cell
121,C0026473,Monocytes,NCI,Cell
122,C0016030,Fibroblasts,LCH,Cell
123,C0016030,Fibroblasts,MSH,Cell
124,C0016030,Fibroblasts,LNC,Cell
125,C0016030,fibroblasts,CHV,Cell
127,C0016030,Fibroblasts,LCH_NW,Cell
128,C0016030,Fibroblasts,NCI,Cell
129,C0016030,Fibroblasts,MTH,Cell
130,C1546634,Fibroblasts,HL7V2.5,Intellectual Product
131,C1550637,Fibroblasts,HL7V3.0,Body Substance
132,C0024264,Lymphocytes,LCH,Cell
133,C0024264,Lymphocytes,MSH,Cell
134,C0024264,lymphocytes,MTH,Cell
135,C0024264,Lymphocytes,LNC,Cell
136,C0024264,lymphocytes,CHV,Cell
138,C0024264,Lymphocytes,LCH_NW,Cell
139,C4018897,Lymphocytes,SNOMEDCT_US,Body Substance
140,C0024264,Lymphocytes,MDR,Cell
141,C0024264,Lymphocytes,CPM,Cell
144,C0024264,Lymphocytes,PSY,Cell
145,C0024264,Lymphocytes,NCI,Cell
146,C1550651,Lymphocytes,HL7V3.0,Body Substance
147,C0024264,Lymphocytes,HL7V2.5,Cell
148,C1546705,Lymphocytes,HL7V2.5,Intellectual Product
149,C0882849,CD34+ Cells,DRUGBANK,Cell
150,C0806987,mononuclear cell,CHV,Cell
151,C0232275,OS,CCPSS,Finding
152,C0232275,OS,SNMI,Finding
153,C0262950,Os,UWDA,"Body Part, Organ, or Organ Component"
154,C0230028,Os,FMA,Body Location or Region
155,C2936904,OS,OMIM,Disease or Syndrome
156,C2697964,OS,NCI,Gene or Genome
157,C0262950,os,CHV,"Body Part, Organ, or Organ Component"
158,C1417167,OS,HGNC,Gene or Genome
159,C1561953,Os,HL7V3.0,"Body Part, Organ, or Organ Component"
160,C0439164,OD,RCD,Quantitative Concept
161,C3665488,OD,OMIM,Disease or Syndrome
162,C0439164,OD,LNC,Quantitative Concept
163,C0014257,Endothelial,NCI,Tissue
164,C0227525,hepatocytes,CHV,Cell
165,C0227525,Hepatocytes,MSH,Cell
166,C0227525,Hepatocytes,NCI,Cell
167,C0003315,Antigen Presenting Cells,MSH,Cell
168,C0003315,antigen presenting cells,CHV,Cell
