,CUI,STR,SAB,STY
0,C0033860,Psoriasis,ICD10,Disease or Syndrome
1,C0033860,Psoriasis,ICD10AM,Disease or Syndrome
2,C0033860,Psoriasis,ICPC,Disease or Syndrome
3,C0033860,Psoriasis,ICPC2P,Disease or Syndrome
4,C0033860,Psoriasis,LCH,Disease or Syndrome
5,C0033860,Psoriasis,MDR,Disease or Syndrome
6,C0033860,Psoriasis,MSH,Disease or Syndrome
7,C0033860,Psoriasis,RCD,Disease or Syndrome
8,C0033860,Psoriasis,SNM,Disease or Syndrome
9,C0033860,PSORIASIS,CCPSS,Disease or Syndrome
10,C0033860,PSORIASIS,COSTAR,Disease or Syndrome
11,C0033860,PSORIASIS,CST,Disease or Syndrome
12,C0033860,PSORIASIS,DXP,Disease or Syndrome
14,C0033860,PSORIASIS,WHO,Disease or Syndrome
15,C0033860,psoriasis,AOD,Disease or Syndrome
16,C0033860,psoriasis,BI,Disease or Syndrome
17,C0033860,psoriasis,CSP,Disease or Syndrome
18,C0033860,psoriasis,MEDCIN,Disease or Syndrome
19,C0033860,Psoriasis,ICD10CM,Disease or Syndrome
20,C0033860,psoriasis,CHV,Disease or Syndrome
21,C0033860,Psoriasis,MEDLINEPLUS,Disease or Syndrome
22,C0033860,Psoriasis,OMIM,Disease or Syndrome
23,C0033860,Psoriasis,LCH_NW,Disease or Syndrome
24,C0033860,Psoriasis,LNC,Disease or Syndrome
26,C0033860,Psoriasis,HPO,Disease or Syndrome
27,C0033860,Psoriasis,SNOMEDCT_US,Disease or Syndrome
28,C0033860,Psoriasis,ICPC2EENG,Disease or Syndrome
29,C0033860,psoriasis,ICPC2ICD10ENG,Disease or Syndrome
30,C0033860,Psoriasis,NCI,Disease or Syndrome
31,C0033860,psoriasis,ICPC2P,Disease or Syndrome
32,C3898900,Healthy,NCI,Qualitative Concept
33,C3898900,Healthy,LNC,Qualitative Concept
34,C3898900,Healthy,HPO,Qualitative Concept
35,C3898900,Healthy,MTH,Qualitative Concept
36,C2986479,Healthy Control,NCI,Qualitative Concept
38,C0001418,Adenocarcinoma,LCH,Neoplastic Process
39,C0001418,Adenocarcinoma,MSH,Neoplastic Process
40,C0001418,Adenocarcinoma,RCD,Neoplastic Process
41,C0001418,Adenocarcinoma,SNM,Neoplastic Process
42,C0001418,ADENOCARCINOMA,CCPSS,Neoplastic Process
43,C0001418,ADENOCARCINOMA,CST,Neoplastic Process
44,C0001418,adenocarcinoma,AOD,Neoplastic Process
45,C0001418,adenocarcinoma,CSP,Neoplastic Process
46,C0001418,Adenocarcinoma,OMIM,Neoplastic Process
47,C0001418,adenocarcinoma,MEDCIN,Neoplastic Process
48,C5551397,Adenocarcinoma,SNOMEDCT_US,Neoplastic Process
49,C0001418,adenocarcinoma,CHV,Neoplastic Process
50,C0001418,Adenocarcinoma,LCH_NW,Neoplastic Process
51,C0001418,Adenocarcinoma,LNC,Neoplastic Process
52,C0001418,Adenocarcinoma,MDR,Neoplastic Process
54,C0001418,Adenocarcinoma,SNOMEDCT_US,Neoplastic Process
55,C0001418,Adenocarcinoma,NCI,Neoplastic Process
56,C0001418,Adenocarcinoma,MTH,Neoplastic Process
57,C0205307,Normal,RCD,Qualitative Concept
58,C0205307,Normal,SNMI,Qualitative Concept
59,C1873497,Normal,OMIM,Finding
60,C1704701,Normal,NCI,Quantitative Concept
61,C0205307,NORMAL,CCPSS,Qualitative Concept
62,C0205307,Normal,LNC,Qualitative Concept
63,C0205307,normal,CHV,Qualitative Concept
65,C1553406,normal,HL7V3.0,Qualitative Concept
66,C0205307,Normal,SNOMEDCT_US,Qualitative Concept
68,C0205307,Normal,NCI,Qualitative Concept
69,C0205307,Normal,MTH,Qualitative Concept
70,C0205307,Normal,HL7V2.5,Qualitative Concept
71,C1550457,Normal,HL7V3.0,Finding
72,C1551394,Normal,HL7V3.0,Finding
74,C1550469,normal,HL7V3.0,Idea or Concept
75,C1553386,normal,HL7V3.0,Intellectual Product
76,C1553399,normal,HL7V3.0,Idea or Concept
77,C1553402,normal,HL7V3.0,Idea or Concept
79,C0029408,OA,CSP,Disease or Syndrome
80,C0029408,OA,MEDCIN,Disease or Syndrome
81,C0029408,oa,BI,Disease or Syndrome
82,C0029408,OA,MEDLINEPLUS,Disease or Syndrome
83,C3887876,OA,OMIM,Finding
84,C0010346,Crohn's Disease,COSTAR,Disease or Syndrome
85,C0010346,CROHN'S DISEASE,DXP,Disease or Syndrome
86,C0010346,CROHN'S DISEASE,WHO,Disease or Syndrome
87,C0010346,Crohn's disease,AOD,Disease or Syndrome
88,C0010346,Crohn's disease,CSP,Disease or Syndrome
89,C0010346,Crohn's disease,MDR,Disease or Syndrome
90,C0010346,Crohn's disease,MTHMST,Disease or Syndrome
91,C0010346,Crohn's disease,RCD,Disease or Syndrome
92,C0010346,Crohn's disease,SNM,Disease or Syndrome
93,C0010346,Crohn's Disease,NCI,Disease or Syndrome
94,C0010346,Crohn's disease,MEDCIN,Disease or Syndrome
95,C0010346,crohn's disease,BI,Disease or Syndrome
96,C0010346,Crohn's disease,CHV,Disease or Syndrome
98,C0010346,Crohn's Disease,MEDLINEPLUS,Disease or Syndrome
99,C0010346,Crohn's disease,LCH_NW,Disease or Syndrome
100,C0010346,Crohn's disease,HPO,Disease or Syndrome
102,C0010346,Crohn's Disease,MSH,Disease or Syndrome
103,C0010346,Crohn's Disease,LNC,Disease or Syndrome
104,C0010346,Crohn's disease,SNOMEDCT_US,Disease or Syndrome
105,C0010346,Crohn's disease,PDQ,Disease or Syndrome
106,C0220621,pediatric AML,PDQ,Neoplastic Process
107,C0220621,Pediatric AML,NCI,Neoplastic Process
108,C0152013,Lung adenocarcinoma,OMIM,Neoplastic Process
109,C0152013,lung adenocarcinoma,MEDCIN,Neoplastic Process
110,C0152013,lung adenocarcinoma,CHV,Neoplastic Process
111,C0152013,Lung adenocarcinoma,SNOMEDCT_VET,Neoplastic Process
112,C0152013,Lung adenocarcinoma,HPO,Neoplastic Process
113,C0152013,Lung adenocarcinoma,MDR,Neoplastic Process
115,C0152013,Lung Adenocarcinoma,MSH,Neoplastic Process
116,C0152013,Lung Adenocarcinoma,PDQ,Neoplastic Process
117,C0152013,Lung Adenocarcinoma,OMIM,Neoplastic Process
118,C0152013,Lung Adenocarcinoma,NCI,Neoplastic Process
119,C5203670,COVID-19,MDR,Disease or Syndrome
121,C5203670,COVID-19,ICD10CM,Disease or Syndrome
122,C5203670,COVID-19,MSH,Disease or Syndrome
123,C5203670,COVID-19,SNOMEDCT_US,Disease or Syndrome
124,C5203670,COVID-19,NCI,Disease or Syndrome
125,C5203670,COVID-19,MEDLINEPLUS,Disease or Syndrome
126,C5203670,COVID-19,CCSR_ICD10CM,Disease or Syndrome
127,C5203670,COVID-19,LNC,Disease or Syndrome
128,C0025202,Melanoma,ICPC2P,Neoplastic Process
129,C0025202,Melanoma,LCH,Neoplastic Process
130,C0025202,Melanoma,MSH,Neoplastic Process
131,C0025202,Melanoma,SNM,Neoplastic Process
132,C0025202,MELANOMA,COSTAR,Neoplastic Process
133,C0025202,melanoma,AOD,Neoplastic Process
134,C0025202,melanoma,BI,Neoplastic Process
135,C0025202,melanoma,CSP,Neoplastic Process
136,C0025202,Melanoma,OMIM,Neoplastic Process
137,C0025202,melanoma,CHV,Neoplastic Process
138,C0025202,Melanoma,MEDLINEPLUS,Neoplastic Process
139,C0025202,Melanoma,LCH_NW,Neoplastic Process
140,C0025202,Melanoma,LNC,Neoplastic Process
141,C0025202,Melanoma,HPO,Neoplastic Process
142,C0025202,Melanoma,MDR,Neoplastic Process
143,C0796561,melanoma,CVX,Pharmacologic Substance
144,C0796561,melanoma,CVX,Immunologic Factor
145,C0025202,melanoma,PDQ,Neoplastic Process
146,C0025202,melanoma,ICPC2ICD10ENG,Neoplastic Process
147,C0025202,Melanoma,NCI,Neoplastic Process
148,C0025202,melanoma,MTH,Neoplastic Process
149,C0796561,melanoma,HL7V2.5,Pharmacologic Substance
150,C0796561,melanoma,HL7V2.5,Immunologic Factor
151,C0796561,melanoma,HL7V3.0,Pharmacologic Substance
152,C0796561,melanoma,HL7V3.0,Immunologic Factor
153,C0025202,melanoma,ICPC2P,Neoplastic Process
154,C0750887,adrenal cancer,MEDCIN,Neoplastic Process
155,C0750887,adrenal cancer,AOD,Neoplastic Process
156,C0750887,adrenal cancer,CHV,Neoplastic Process
157,C0750887,Adrenal Cancer,MTH,Neoplastic Process
158,C0750887,Adrenal Cancer,MSH,Neoplastic Process
159,C0750887,adrenal cancer,CSP,Neoplastic Process
160,C0005684,bladder cancer,BI,Neoplastic Process
161,C0005684,Bladder cancer,RCD,Neoplastic Process
162,C0005684,BLADDER CANCER,OMIM,Neoplastic Process
163,C0005684,bladder cancer,MEDCIN,Neoplastic Process
164,C0005684,BLADDER CANCER,CCPSS,Neoplastic Process
166,C0005684,bladder cancer,CHV,Neoplastic Process
