,CUI,STR,SAB,STY
0,C1015036,Thymus,NCBI,Plant
1,C0040113,Thymus,SNM,"Body Part, Organ, or Organ Component"
3,C0040113,Thymus,UWDA,"Body Part, Organ, or Organ Component"
4,C0040113,THYMUS,SNMI,"Body Part, Organ, or Organ Component"
5,C0040113,thymus,AOD,"Body Part, Organ, or Organ Component"
6,C0040113,thymus,CSP,"Body Part, Organ, or Organ Component"
7,C0040113,Thymus,FMA,"Body Part, Organ, or Organ Component"
8,C0040113,Thymus,ICF,"Body Part, Organ, or Organ Component"
9,C0040113,Thymus,ICF-CY,"Body Part, Organ, or Organ Component"
10,C0040113,thymus,CHV,"Body Part, Organ, or Organ Component"
11,C0040112,thymus,CHV,Biologically Active Substance
12,C0040112,THYMUS,MTHSPL,Biologically Active Substance
13,C0040113,Thymus,LCH_NW,"Body Part, Organ, or Organ Component"
14,C0040113,Thymus,MSH,"Body Part, Organ, or Organ Component"
15,C1015036,Thymus,LNC,Plant
16,C0040113,Thymus,SNOMEDCT_US,"Body Part, Organ, or Organ Component"
18,C0040113,Thymus,NCI,"Body Part, Organ, or Organ Component"
19,C0040113,Thymus,HL7V2.5,"Body Part, Organ, or Organ Component"
20,C0040112,THYMUS,VANDF,Biologically Active Substance
21,C0162371,Cord blood,SNMI,Body Substance
22,C0162371,cord blood,CSP,Body Substance
23,C0162371,Cord Blood,NCI,Body Substance
24,C0162371,cord blood,CHV,Body Substance
25,C0162371,Cord Blood,MEDLINEPLUS,Body Substance
26,C0162371,Cord blood,SNOMEDCT_US,Body Substance
27,C0162371,CORD BLOOD,MTHSPL,Body Substance
28,C0162371,Cord blood,LNC,Body Substance
29,C0162371,Cord Blood,MSH,Body Substance
30,C0162371,Cord Blood,HL7V2.5,Body Substance
31,C1546555,Cord blood,HL7V2.5,Intellectual Product
43,C0005767,Blood,LCH,Body Substance
44,C0005767,Blood,MSH,Body Substance
45,C0005767,Blood,MTH,Body Substance
47,C0005767,Blood,RCD,Body Substance
48,C0005767,Blood,SNM,Body Substance
50,C0005767,Blood,UWDA,Body Substance
51,C0005767,blood,AOD,Body Substance
52,C0005767,blood,CSP,Body Substance
53,C0005767,BLOOD,SNMI,Body Substance
54,C0005767,Blood,FMA,Body Substance
55,C0005767,Blood,LNC,Body Substance
56,C0005767,blood,CHV,Body Substance
57,C0005767,Blood,MEDLINEPLUS,Body Substance
59,C0005767,Blood,LCH_NW,Body Substance
61,C0005767,Blood,SNOMEDCT_US,Body Substance
67,C0005768,blood,MSH,Body Substance
68,C0005767,Blood,PSY,Body Substance
69,C0229664,Blood,NCI,Body Substance
70,C0005767,Blood,HL7V2.5,Body Substance
71,C0023884,Liver,LCH,"Body Part, Organ, or Organ Component"
72,C0721399,Liver,MMSL,Organic Chemical
73,C0721399,Liver,MMSL,Pharmacologic Substance
74,C0721399,Liver,MMSL,Vitamin
75,C0023884,Liver,MSH,"Body Part, Organ, or Organ Component"
76,C0023884,Liver,MTH,"Body Part, Organ, or Organ Component"
77,C1278929,Liver,RCD,"Body Part, Organ, or Organ Component"
78,C0023884,Liver,SNM,"Body Part, Organ, or Organ Component"
80,C0023884,Liver,UWDA,"Body Part, Organ, or Organ Component"
81,C0023884,LIVER,CCPSS,"Body Part, Organ, or Organ Component"
82,C0023884,LIVER,SNMI,"Body Part, Organ, or Organ Component"
83,C0023884,liver,AOD,"Body Part, Organ, or Organ Component"
84,C0023884,liver,CSP,"Body Part, Organ, or Organ Component"
85,C0023899,Liver,MMSL,Organic Chemical
86,C0023899,Liver,MMSL,Pharmacologic Substance
87,C0023884,Liver,OMIM,"Body Part, Organ, or Organ Component"
88,C0023884,Liver,FMA,"Body Part, Organ, or Organ Component"
89,C0023884,Liver,LNC,"Body Part, Organ, or Organ Component"
91,C0023884,liver,CHV,"Body Part, Organ, or Organ Component"
92,C0721399,Liver,CHV,Organic Chemical
93,C0721399,Liver,CHV,Pharmacologic Substance
94,C0721399,Liver,CHV,Vitamin
96,C0023884,Liver,LCH_NW,"Body Part, Organ, or Organ Component"
99,C0023884,Liver,SNOMEDCT_US,"Body Part, Organ, or Organ Component"
100,C4037986,Liver,LNC,"Body Part, Organ, or Organ Component"
104,C0023884,Liver,PSY,"Body Part, Organ, or Organ Component"
105,C0023884,Liver,NCI,"Body Part, Organ, or Organ Component"
106,C0023884,Liver,HL7V2.5,"Body Part, Organ, or Organ Component"
107,C0023899,LIVER,VANDF,Organic Chemical
108,C0023899,LIVER,VANDF,Pharmacologic Substance
109,C0018787,Heart,AIR,"Body Part, Organ, or Organ Component"
110,C0018787,Heart,LCH,"Body Part, Organ, or Organ Component"
111,C0018787,Heart,MSH,"Body Part, Organ, or Organ Component"
112,C0018787,Heart,MTH,"Body Part, Organ, or Organ Component"
113,C0018787,Heart,RCD,"Body Part, Organ, or Organ Component"
114,C0018787,Heart,SNM,"Body Part, Organ, or Organ Component"
116,C0018787,Heart,UWDA,"Body Part, Organ, or Organ Component"
117,C0018787,HEART,CCPSS,"Body Part, Organ, or Organ Component"
118,C0018787,HEART,SNMI,"Body Part, Organ, or Organ Component"
119,C0018787,heart,AOD,"Body Part, Organ, or Organ Component"
120,C0018787,heart,CSP,"Body Part, Organ, or Organ Component"
121,C0018787,Heart,OMIM,"Body Part, Organ, or Organ Component"
122,C0018787,Heart,FMA,"Body Part, Organ, or Organ Component"
123,C0018787,Heart,ICF,"Body Part, Organ, or Organ Component"
124,C0018787,Heart,ICF-CY,"Body Part, Organ, or Organ Component"
125,C0018787,Heart,LNC,"Body Part, Organ, or Organ Component"
126,C0018787,heart,CHV,"Body Part, Organ, or Organ Component"
128,C0018787,Heart,LCH_NW,"Body Part, Organ, or Organ Component"
130,C0018787,Heart,SNOMEDCT_US,"Body Part, Organ, or Organ Component"
133,C4037974,Heart,LNC,"Body Part, Organ, or Organ Component"
134,C0018787,Heart,PSY,"Body Part, Organ, or Organ Component"
135,C0018787,Heart,NCI,"Body Part, Organ, or Organ Component"
136,C0018787,Heart,HL7V2.5,"Body Part, Organ, or Organ Component"
137,C0494165,LIVER METASTASIS,CCPSS,Neoplastic Process
138,C0494165,liver metastasis,CHV,Neoplastic Process
139,C0494165,Liver metastasis,LCH_NW,Neoplastic Process
140,C0494165,Liver Metastasis,NCI,Neoplastic Process
141,C3495441,Primary motor cortex,FMA,Body Location or Region
142,C3495441,Primary Motor Cortex,NCI,Body Location or Region
143,C3495441,primary motor cortex,NEU,Body Location or Region
144,C3495441,primary motor cortex,MTH,Body Location or Region
145,C3495441,Primary Motor Cortex,MSH,Body Location or Region
146,C2243049,peripheral blood mononuclear cells,MEDCIN,Laboratory Procedure
147,C1321301,Peripheral Blood Mononuclear Cells,MSH,Cell
148,C0007134,Renal cell carcinoma,ICD10AM,Neoplastic Process
149,C0007134,Renal cell carcinoma,RCD,Neoplastic Process
150,C0007134,Renal cell carcinoma,SNM,Neoplastic Process
151,C0007134,Renal cell carcinoma,SNMI,Neoplastic Process
152,C0007134,RENAL CELL CARCINOMA,CCPSS,Neoplastic Process
153,C0007134,RENAL CELL CARCINOMA,DXP,Neoplastic Process
154,C0007134,RENAL CELL CARCINOMA,QMR,Neoplastic Process
155,C0007134,renal cell carcinoma,CSP,Neoplastic Process
156,C0007134,Renal cell carcinoma,MDR,Neoplastic Process
157,C0007134,renal cell carcinoma,MEDCIN,Neoplastic Process
158,C0007134,renal cell carcinoma,CHV,Neoplastic Process
159,C0007134,Renal cell carcinoma,LCH_NW,Neoplastic Process
160,C0007134,Renal cell carcinoma,SNOMEDCT_US,Neoplastic Process
161,C0007134,Renal cell carcinoma,HPO,Neoplastic Process
163,C0007134,Renal Cell Carcinoma,MSH,Neoplastic Process
165,C0279702,renal cell carcinoma,PDQ,Neoplastic Process
166,C0007134,renal cell carcinoma,PDQ,Neoplastic Process
167,C0007134,Renal cell carcinoma,OMIM,Neoplastic Process
168,C0007134,Renal cell carcinoma,ORPHANET,Neoplastic Process
169,C0007134,Renal Cell Carcinoma,MTH,Neoplastic Process
170,C0007134,Renal Cell Carcinoma,NCI,Neoplastic Process
171,C0005953,Bone Marrow,MSH,Tissue
172,C0005953,Bone Marrow,MTH,Tissue
173,C0005953,Bone Marrow,SNM,Tissue
174,C0005953,BONE MARROW,SNMI,Tissue
175,C5441789,Bone marrow,RCD,Tissue
176,C0005953,Bone marrow,SNM,Tissue
177,C0005953,Bone marrow,UWDA,Tissue
178,C0005953,bone marrow,AOD,Tissue
179,C0005953,bone marrow,CSP,Tissue
180,C0005953,Bone marrow,FMA,Tissue
181,C0005953,Bone marrow,ICF,Tissue
182,C0005953,Bone marrow,ICF-CY,Tissue
183,C0005953,Bone marrow,LNC,Tissue
184,C0005953,bone marrow,CHV,Tissue
185,C0005953,Bone marrow,LCH_NW,Tissue
186,C0005953,bone marrow,NDDF,Tissue
188,C0005953,Bone marrow,SNOMEDCT_US,Tissue
194,C0005953,Bone Marrow,PSY,Tissue
195,C0005953,Bone Marrow,NCI,Tissue
196,C0005953,Bone marrow,HL7V2.5,Tissue
197,C0007585,Cell culture,SNM,Laboratory Procedure
198,C0007585,cell culture,CSP,Laboratory Procedure
199,C0007585,cell culture,CHV,Laboratory Procedure
200,C0007585,Cell culture,LCH_NW,Laboratory Procedure
201,C0007585,Cell Culture,MSH,Laboratory Procedure
202,C0007585,cell culture,PDQ,Laboratory Procedure
203,C4721550,Cell Culture,MTH,Laboratory Procedure
204,C4721550,Cell Culture,NCI,Laboratory Procedure
205,C0006104,Brain,LCH,"Body Part, Organ, or Organ Component"
206,C0006104,Brain,MSH,"Body Part, Organ, or Organ Component"
207,C0006104,Brain,MTH,"Body Part, Organ, or Organ Component"
208,C0006104,Brain,RCD,"Body Part, Organ, or Organ Component"
209,C0006104,Brain,SNM,"Body Part, Organ, or Organ Component"
210,C0006104,Brain,UWDA,"Body Part, Organ, or Organ Component"
211,C0006104,BRAIN,CCPSS,"Body Part, Organ, or Organ Component"
212,C0006104,brain,AOD,"Body Part, Organ, or Organ Component"
213,C0006104,brain,CSP,"Body Part, Organ, or Organ Component"
214,C0006104,Brain,FMA,"Body Part, Organ, or Organ Component"
215,C0006104,Brain,LNC,"Body Part, Organ, or Organ Component"
216,C0006104,brain,CHV,"Body Part, Organ, or Organ Component"
217,C0006104,brain,NEU,"Body Part, Organ, or Organ Component"
219,C0006104,Brain,LCH_NW,"Body Part, Organ, or Organ Component"
221,C0006104,Brain,SNOMEDCT_US,"Body Part, Organ, or Organ Component"
222,C4266577,Brain,LNC,"Body Part, Organ, or Organ Component"
224,C0006104,Brain,PSY,"Body Part, Organ, or Organ Component"
225,C0006104,Brain,NCI,"Body Part, Organ, or Organ Component"
226,C0006104,Brain,HL7V2.5,"Body Part, Organ, or Organ Component"
227,C0024109,Lung,MSH,"Body Part, Organ, or Organ Component"
228,C0024109,Lung,MTH,"Body Part, Organ, or Organ Component"
229,C0024109,Lung,RCD,"Body Part, Organ, or Organ Component"
230,C0024109,Lung,SNM,"Body Part, Organ, or Organ Component"
232,C0024109,Lung,UWDA,"Body Part, Organ, or Organ Component"
233,C0024109,lung,AOD,"Body Part, Organ, or Organ Component"
234,C0024109,lung,CSP,"Body Part, Organ, or Organ Component"
235,C0024109,Lung,OMIM,"Body Part, Organ, or Organ Component"
237,C0024109,Lung,FMA,"Body Part, Organ, or Organ Component"
238,C0024109,Lung,LNC,"Body Part, Organ, or Organ Component"
239,C0024109,lung,CHV,"Body Part, Organ, or Organ Component"
243,C0024109,Lung,SNOMEDCT_US,"Body Part, Organ, or Organ Component"
245,C4037972,Lung,LNC,Body Location or Region
246,C0024109,Lung,PSY,"Body Part, Organ, or Organ Component"
247,C0024109,Lung,NCI,"Body Part, Organ, or Organ Component"
248,C0024109,Lung,HL7V2.5,"Body Part, Organ, or Organ Component"
249,C0431085,Tumor cells,RCDAE,Cell
250,C0431085,Tumor cells,SNM,Cell
251,C5551176,tumor cells,CHV,Cell
252,C5551176,Tumor cells,SNOMEDCT_US,Cell
253,C5551176,Tumor cells,MTH,Cell
254,C0038250,Stem Cells,MSH,Cell
255,C0038250,Stem cells,LCH,Cell
256,C0038250,stem cells,CHV,Cell
257,C0038250,Stem Cells,MEDLINEPLUS,Cell
258,C0038250,Stem cells,LCH_NW,Cell
259,C0038250,Stem cells,MTH,Cell
260,C0038250,Stem Cells,NCI,Cell
261,C0152018,ESOPHAGEAL CARCINOMA,COSTAR,Neoplastic Process
262,C0152018,ESOPHAGEAL CARCINOMA,CST,Neoplastic Process
263,C0152018,ESOPHAGEAL CARCINOMA,MTH,Neoplastic Process
264,C0152018,Esophageal carcinoma,OMIM,Neoplastic Process
265,C0152018,esophageal carcinoma,MEDCIN,Neoplastic Process
266,C0152018,esophageal carcinoma,CHV,Neoplastic Process
267,C0152018,Esophageal carcinoma,HPO,Neoplastic Process
268,C0152018,Esophageal carcinoma,MDR,Neoplastic Process
270,C0152018,Esophageal carcinoma,ORPHANET,Neoplastic Process
271,C0152018,Esophageal carcinoma,MTH,Neoplastic Process
272,C0152018,Esophageal Carcinoma,NCI,Neoplastic Process
273,C0030274,Pancreas,LCH,"Body Part, Organ, or Organ Component"
274,C0030274,Pancreas,MSH,"Body Part, Organ, or Organ Component"
275,C0030274,Pancreas,MTH,"Body Part, Organ, or Organ Component"
276,C0030274,Pancreas,MTHMST,"Body Part, Organ, or Organ Component"
277,C0030274,Pancreas,RCD,"Body Part, Organ, or Organ Component"
278,C0030274,Pancreas,SNM,"Body Part, Organ, or Organ Component"
280,C0030274,Pancreas,UWDA,"Body Part, Organ, or Organ Component"
281,C0030274,PANCREAS,CCPSS,"Body Part, Organ, or Organ Component"
282,C0030274,PANCREAS,SNMI,"Body Part, Organ, or Organ Component"
283,C0030274,pancreas,AOD,"Body Part, Organ, or Organ Component"
284,C0030274,pancreas,CSP,"Body Part, Organ, or Organ Component"
285,C0030274,Pancreas,OMIM,"Body Part, Organ, or Organ Component"
286,C0030274,Pancreas,FMA,"Body Part, Organ, or Organ Component"
287,C0030274,Pancreas,LNC,"Body Part, Organ, or Organ Component"
288,C0771711,pancreas,CHV,Organic Chemical
289,C0771711,pancreas,CHV,Pharmacologic Substance
290,C0030274,pancreas,CHV,"Body Part, Organ, or Organ Component"
292,C0030274,Pancreas,LCH_NW,"Body Part, Organ, or Organ Component"
293,C0771711,Pancreas,LNC,Organic Chemical
294,C0771711,Pancreas,LNC,Pharmacologic Substance
295,C0771711,pancreas,NDDF,Organic Chemical
296,C0771711,pancreas,NDDF,Pharmacologic Substance
